Jun 17 2020 at 20:46:38
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	46.42	-65.72	75.72	0.00	0.0739	13.66	601.0	311.09	0.0193	116.0	2.088	2.64	-14.50	1.42
	47.42	-65.26	75.72	0.00	0.0739	13.65	600.7	311.64	0.0193	115.9	2.086	2.65	-14.49	1.42
	48.42	-65.72	75.72	0.00	0.0739	13.66	600.9	311.00	0.0193	115.5	2.079	2.63	-14.56	1.42
	49.42	-65.72	75.72	0.00	0.0739	13.66	600.9	311.03	0.0194	116.0	2.088	2.64	-14.51	1.42
	50.42	-65.72	75.72	0.00	0.0738	13.66	600.8	310.98	0.0193	115.7	2.082	2.63	-14.54	1.42
	51.42	-65.72	75.72	0.00	0.0738	13.65	600.5	310.84	0.0193	115.6	2.082	2.63	-14.54	1.42
	52.42	-65.72	75.70	0.00	0.0738	13.65	600.6	310.96	0.0194	115.6	2.081	2.63	-14.54	1.42
	53.42	-65.72	75.70	0.00	0.0738	13.64	600.1	310.70	0.0194	116.0	2.089	2.64	-14.50	1.42
	54.42	-65.72	75.70	0.00	0.0738	13.64	600.2	310.77	0.0193	116.0	2.088	2.64	-14.51	1.42
	55.42	-66.19	75.72	0.00	0.0738	13.64	600.4	310.04	0.0194	116.0	2.088	2.64	-14.53	1.42
	56.42	-65.26	75.70	0.00	0.0738	13.65	600.8	311.77	0.0195	117.1	2.108	2.67	-14.36	1.42
	57.42	-65.72	75.72	0.00	0.0738	13.65	600.6	310.89	0.0195	116.6	2.099	2.66	-14.44	1.42
	58.42	-65.26	75.67	0.00	0.0738	13.65	600.7	311.82	0.0194	116.1	2.090	2.65	-14.46	1.42
	59.42	-65.72	75.72	0.00	0.0738	13.65	600.5	310.84	0.0194	116.2	2.091	2.65	-14.48	1.42
	60.42	-65.72	75.70	0.00	0.0739	13.65	600.8	311.08	0.0196	116.9	2.105	2.66	-14.40	1.42
	61.42	-65.72	75.72	0.00	0.0738	13.65	600.8	310.98	0.0194	116.5	2.097	2.65	-14.45	1.42
	62.41	-65.72	75.72	0.00	0.0739	13.65	600.6	310.87	0.0195	116.3	2.094	2.65	-14.47	1.42
	63.42	-65.72	75.70	0.00	0.0739	13.65	600.5	310.96	0.0195	116.7	2.101	2.66	-14.43	1.42
	64.42	-65.72	75.72	0.00	0.0739	13.66	600.8	310.99	0.0195	116.6	2.100	2.66	-14.44	1.42
	65.42	-65.72	75.72	0.00	0.0738	13.66	600.9	311.01	0.0194	116.9	2.103	2.66	-14.41	1.42
	66.42	-65.72	75.72	0.00	0.0738	13.66	600.9	311.06	0.0194	116.8	2.103	2.66	-14.42	1.42
	67.42	-65.72	75.72	0.00	0.0739	13.67	601.4	311.29	0.0195	116.7	2.101	2.66	-14.43	1.42
	68.42	-65.72	75.72	0.00	0.0740	13.68	601.7	311.46	0.0195	116.7	2.101	2.66	-14.43	1.42
	69.42	-65.72	75.70	0.00	0.0739	13.67	601.4	311.37	0.0194	116.8	2.103	2.66	-14.42	1.42
	70.42	-65.72	75.70	0.00	0.0739	13.67	601.5	311.43	0.0195	116.9	2.104	2.66	-14.41	1.42
	71.42	-65.72	75.70	0.00	0.0739	13.67	601.5	311.42	0.0196	116.8	2.102	2.66	-14.42	1.42
	72.42	-65.72	75.70	0.00	0.0739	13.67	601.4	311.41	0.0195	117.0	2.105	2.66	-14.40	1.42
	73.42	-65.72	75.70	0.00	0.0739	13.67	601.5	311.43	0.0195	117.0	2.106	2.66	-14.40	1.42
	74.42	-65.72	75.72	0.00	0.0739	13.67	601.5	311.32	0.0194	116.8	2.103	2.66	-14.42	1.42
	75.42	-65.72	75.72	0.00	0.0739	13.67	601.6	311.40	0.0195	117.1	2.108	2.67	-14.39	1.42
	76.42	-65.72	75.72	0.00	0.0739	13.67	601.4	311.26	0.0195	117.1	2.107	2.67	-14.39	1.42
	77.42	-65.72	75.70	0.00	0.0740	13.67	601.3	311.35	0.0196	117.3	2.111	2.67	-14.37	1.42
	78.42	-65.71	75.70	0.00	0.0739	13.66	601.2	311.28	0.0196	117.0	2.106	2.67	-14.40	1.42
	79.42	-65.72	75.72	0.00	0.0739	13.66	601.2	311.21	0.0195	116.9	2.104	2.66	-14.41	1.42
	80.42	-65.72	75.72	0.00	0.0739	13.65	600.7	310.95	0.0195	117.1	2.108	2.67	-14.39	1.42
	81.44	-65.72	75.70	0.00	0.0739	13.66	601.0	311.21	0.0195	117.4	2.114	2.68	-14.35	1.42
	82.42	-65.72	75.72	0.00	0.0739	13.67	601.5	311.34	0.0196	117.4	2.114	2.67	-14.35	1.42
	83.50	-65.72	75.70	0.00	0.0739	13.66	601.2	311.31	0.0195	117.4	2.114	2.68	-14.35	1.42
	84.42	-65.72	75.72	0.00	0.0739	13.67	601.5	311.32	0.0196	117.8	2.121	2.68	-14.31	1.42
	85.42	-65.72	75.70	0.00	0.0739	13.67	601.4	311.41	0.0197	117.4	2.114	2.68	-14.35	1.42
	86.42	-65.26	75.72	0.00	0.0739	13.67	601.3	311.93	0.0197	117.7	2.118	2.69	-14.30	1.42
	87.42	-65.72	75.72	0.00	0.0739	13.66	601.0	311.08	0.0196	117.3	2.111	2.67	-14.37	1.42
	88.42	-65.72	75.72	0.00	0.0738	13.67	601.3	311.23	0.0196	117.7	2.118	2.68	-14.33	1.42
	89.42	-65.72	75.72	0.00	0.0739	13.67	601.3	311.26	0.0197	117.8	2.120	2.68	-14.32	1.42
	90.42	-65.72	75.72	0.00	0.0738	13.67	601.4	311.27	0.0197	117.7	2.119	2.68	-14.32	1.42
	91.42	-65.72	75.75	0.00	0.0739	13.66	600.9	310.91	0.0197	117.5	2.116	2.68	-14.34	1.42
	92.42	-66.19	75.75	0.00	0.0739	13.66	601.1	310.34	0.0197	118.0	2.124	2.68	-14.33	1.42
	93.42	-65.72	75.72	0.00	0.0738	13.65	600.5	310.81	0.0196	117.6	2.116	2.68	-14.34	1.42
	94.42	-65.72	75.72	0.00	0.0739	13.64	600.4	310.76	0.0196	117.4	2.113	2.67	-14.36	1.42
	95.42	-65.72	75.72	0.00	0.0739	13.65	600.5	310.81	0.0197	117.7	2.119	2.68	-14.32	1.42
	96.42	-65.72	75.72	0.00	0.0739	13.66	601.1	311.16	0.0198	118.9	2.140	2.71	-14.20	1.42
	97.42	-65.72	75.72	0.00	0.0739	13.66	601.0	311.08	0.0197	118.0	2.125	2.69	-14.29	1.42
	98.42	-65.26	75.72	0.00	0.0739	13.65	600.7	311.62	0.0196	118.0	2.124	2.69	-14.27	1.42
	99.42	-65.72	75.72	0.00	0.0740	13.66	601.2	311.17	0.0198	118.7	2.137	2.70	-14.22	1.42
	100.50	-65.72	75.70	0.00	0.0739	13.67	601.5	311.44	0.0199	119.4	2.150	2.72	-14.15	1.42
	101.42	-65.72	75.72	0.00	0.0739	13.67	601.3	311.23	0.0198	118.8	2.138	2.71	-14.21	1.42
	102.50	-65.72	75.72	0.00	0.0739	13.66	601.1	311.12	0.0198	118.7	2.136	2.70	-14.22	1.42
	103.42	-65.72	75.72	0.00	0.0739	13.66	601.2	311.19	0.0198	118.6	2.135	2.70	-14.23	1.42
	104.42	-65.72	75.70	0.00	0.0739	13.66	601.1	311.26	0.0197	118.6	2.135	2.70	-14.23	1.42
	105.42	-65.72	75.75	0.00	0.0740	13.67	601.3	311.12	0.0198	119.0	2.143	2.71	-14.19	1.42
	106.42	-65.72	75.72	0.00	0.0739	13.66	601.2	311.16	0.0198	119.0	2.142	2.71	-14.19	1.42
