Jun 17 2020 at 20:46:38
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.42	-65.72	75.70	0.00	0.0738	13.65	600.4	310.88	0.0183	109.3	1.967	2.49	-15.23	1.43
	1.41	-65.72	75.70	0.00	0.0739	13.64	600.3	310.84	0.0184	109.4	1.970	2.49	-15.21	1.42
	2.42	-65.72	75.70	0.00	0.0738	13.64	600.3	310.82	0.0183	108.8	1.958	2.48	-15.29	1.42
	3.41	-65.72	75.70	0.00	0.0738	13.64	600.1	310.72	0.0183	108.8	1.958	2.48	-15.28	1.42
	4.42	-65.71	75.72	0.00	0.0738	13.64	600.4	310.76	0.0183	108.8	1.959	2.48	-15.28	1.42
	5.41	-65.72	75.70	0.00	0.0738	13.64	600.3	310.81	0.0183	109.0	1.961	2.48	-15.26	1.43
	6.42	-65.26	75.72	0.00	0.0738	13.65	600.5	311.53	0.0185	110.3	1.985	2.52	-15.09	1.42
	7.41	-65.72	75.70	0.00	0.0738	13.64	600.3	310.83	0.0185	110.0	1.980	2.51	-15.15	1.42
	8.42	-65.72	75.70	0.00	0.0738	13.65	600.4	310.88	0.0185	109.8	1.977	2.50	-15.17	1.42
	9.41	-65.72	75.70	0.00	0.0739	13.65	600.7	311.02	0.0186	110.4	1.987	2.51	-15.11	1.42
	10.42	-65.26	75.72	0.00	0.0738	13.65	600.6	311.55	0.0187	110.6	1.991	2.52	-15.06	1.42
	11.48	-65.72	75.72	0.00	0.0738	13.65	600.4	310.79	0.0186	111.3	2.003	2.53	-15.01	1.43
	12.42	-65.72	75.70	0.00	0.0738	13.65	600.5	310.91	0.0186	110.7	1.993	2.52	-15.07	1.42
	13.42	-65.72	75.70	0.00	0.0738	13.65	600.4	310.87	0.0186	110.7	1.993	2.52	-15.07	1.42
	14.42	-65.26	75.72	0.00	0.0738	13.64	600.0	311.27	0.0186	110.8	1.995	2.53	-15.03	1.42
	15.42	-65.26	75.70	0.00	0.0738	13.65	600.5	311.61	0.0186	110.9	1.995	2.53	-15.03	1.42
	16.42	-65.72	75.70	0.00	0.0739	13.65	600.6	310.99	0.0187	111.2	2.001	2.53	-15.02	1.42
	17.42	-65.26	75.70	0.00	0.0738	13.65	600.8	311.77	0.0188	112.3	2.021	2.56	-14.87	1.43
	18.42	-65.72	75.70	0.00	0.0738	13.66	600.9	311.13	0.0187	111.6	2.008	2.54	-14.98	1.42
	19.42	-65.72	75.72	0.00	0.0738	13.64	600.3	310.74	0.0187	111.7	2.010	2.54	-14.97	1.42
	20.41	-65.72	75.72	0.00	0.0738	13.65	600.6	310.86	0.0188	112.4	2.023	2.56	-14.89	1.42
	21.42	-65.72	75.70	0.00	0.0738	13.65	600.4	310.90	0.0187	111.7	2.011	2.55	-14.96	1.42
	22.41	-65.72	75.70	0.00	0.0739	13.66	601.0	311.21	0.0189	113.2	2.038	2.58	-14.80	1.42
	23.42	-65.72	75.72	0.00	0.0739	13.65	600.7	310.92	0.0188	112.5	2.025	2.56	-14.88	1.43
	24.41	-65.72	75.67	0.00	0.0739	13.66	600.9	311.27	0.0189	112.7	2.029	2.57	-14.85	1.42
	25.42	-65.73	75.70	0.00	0.0739	13.66	601.0	311.20	0.0190	112.9	2.032	2.57	-14.83	1.42
	26.41	-65.72	75.70	0.00	0.0739	13.66	600.9	311.13	0.0191	113.5	2.043	2.59	-14.77	1.42
	27.42	-65.26	75.70	0.00	0.0738	13.66	601.0	311.87	0.0190	113.5	2.043	2.59	-14.74	1.42
	28.41	-65.72	75.72	0.00	0.0738	13.65	600.7	310.91	0.0190	112.7	2.029	2.57	-14.85	1.42
	29.42	-65.72	75.72	0.00	0.0739	13.64	600.0	310.55	0.0189	112.8	2.030	2.57	-14.85	1.43
	30.42	-65.72	75.72	0.00	0.0738	13.65	600.5	310.83	0.0191	113.7	2.046	2.59	-14.75	1.42
	31.42	-65.72	75.70	0.00	0.0740	13.67	601.4	311.38	0.0194	114.9	2.068	2.62	-14.62	1.42
	32.42	-65.72	75.72	0.00	0.0740	13.65	600.8	310.98	0.0192	114.7	2.065	2.61	-14.64	1.42
	33.42	-65.72	75.72	0.00	0.0738	13.66	601.1	311.12	0.0191	114.6	2.063	2.61	-14.65	1.42
	34.42	-65.72	75.72	0.00	0.0738	13.64	600.0	310.56	0.0191	113.3	2.039	2.58	-14.79	1.42
	35.42	-66.19	75.72	0.00	0.0739	13.65	600.6	310.17	0.0191	113.8	2.048	2.59	-14.77	1.42
	36.42	-65.72	75.70	0.00	0.0739	13.66	600.9	311.13	0.0191	113.8	2.049	2.59	-14.73	1.42
	37.42	-65.72	75.72	0.00	0.0739	13.66	600.9	311.02	0.0194	116.0	2.087	2.64	-14.51	1.42
	38.42	-66.20	75.72	0.00	0.0738	13.66	601.1	310.42	0.0191	115.3	2.076	2.62	-14.60	1.42
	39.42	-65.72	75.72	0.00	0.0739	13.66	600.9	311.03	0.0192	114.8	2.067	2.62	-14.63	1.42
	40.42	-65.72	75.70	0.00	0.0738	13.65	600.8	311.07	0.0192	114.3	2.057	2.60	-14.69	1.42
	41.41	-65.72	75.70	0.00	0.0738	13.65	600.6	310.99	0.0191	114.6	2.062	2.61	-14.65	1.42
	42.42	-65.72	75.70	0.00	0.0738	13.64	600.3	310.81	0.0191	114.6	2.062	2.61	-14.66	1.42
	43.41	-65.72	75.70	0.00	0.0738	13.64	600.4	310.86	0.0193	115.0	2.070	2.62	-14.61	1.42
	44.42	-65.26	75.72	0.00	0.0738	13.66	600.9	311.74	0.0193	115.1	2.072	2.63	-14.57	1.42
	45.41	-65.26	75.72	0.00	0.0739	13.66	601.1	311.80	0.0195	115.9	2.085	2.64	-14.49	1.42
